Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	4.0	2.0	0.0	1.0	3.0	4.0	153.0	4.0	1.0	18.0	2.0	0.0	1.0	3.0	0.0	9
2.0	3.0	2.0	100.0	2.0	7.0	3.0	210.0	5.0	5.0	5.0	2.0	0.0	249.0	7.0	1.0	8
2.0	3.0	2.0	94.7	2.0	7.0	4.0	130.0	6.0	6.0	0.0	2.0	1.0	39.0	7.0	0.0	2
2.0	5.0	2.0	100.0	0.0	3.0	3.0	190.0	5.0	2.0	16.0	3.0	0.0	1.0	3.0	0.0	15
2.0	7.0	4.0	100.0	2.0	7.0	5.0	924.0	4.0	4.0	6.0	1.0	0.0	1.0	3.0	1.0	24
2.0	5.0	2.0	100.0	3.0	3.0	9.0	739.0	5.0	2.0	22.0	2.0	0.0	1.0	3.0	0.0	17
2.0	3.0	3.0	100.0	3.0	5.0	8.0	575.0	4.0	6.0	18.0	1.0	0.0	1.0	5.0	1.0	7
2.0	3.0	1.0	100.0	2.0	1.0	3.0	110.0	4.0	3.0	15.0	2.0	1.0	39.0	7.0	1.0	3
2.0	3.0	1.0	100.0	3.0	3.0	8.0	265.0	5.0	2.0	2.0	2.0	0.0	1.0	7.0	0.0	3
1.0	7.0	2.0	100.0	3.0	7.0	8.0	1068.0	6.0	6.0	4.0	1.0	0.0	1.0	3.0	0.0	9
2.0	3.0	2.0	99.8	4.0	1.0	6.0	621.0	6.0	5.0	0.0	0.0	1.0	40.0	3.0	1.0	6
2.0	4.0	2.0	100.0	2.0	3.0	3.0	225.0	5.0	2.0	2.0	2.0	1.0	39.0	7.0	0.0	6
2.0	3.0	1.0	100.0	0.0	7.0	4.0	431.0	4.0	4.0	18.0	2.0	0.0	1.0	5.0	0.0	5
1.0	5.0	2.0	100.0	3.0	10.0	4.0	666.0	5.0	2.0	11.0	3.0	1.0	39.0	7.0	0.0	6
2.0	7.0	3.0	90.0	1.0	7.0	4.0	234.0	5.0	5.0	8.0	3.0	1.0	39.0	7.0	0.0	13
2.0	3.0	2.0	0.0	0.0	7.0	5.0	202.0	4.0	4.0	13.0	2.0	0.0	1.0	7.0	0.0	5
2.0	5.0	2.0	100.0	3.0	7.0	4.0	1982.0	5.0	5.0	16.0	1.0	1.0	39.0	7.0	1.0	12
2.0	5.0	4.0	100.0	1.0	1.0	3.0	108.0	5.0	4.0	0.0	2.0	0.0	1.0	7.0	0.0	17
2.0	5.0	3.0	97.9	3.0	5.0	6.0	501.0	5.0	7.0	17.0	2.0	0.0	1.0	7.0	0.0	15
2.0	4.0	2.0	100.0	3.0	7.0	4.0	166.0	4.0	4.0	23.0	2.0	0.0	1.0	7.0	0.0	7
1.0	4.0	2.0	100.0	1.0	7.0	9.0	195.0	6.0	6.0	2.0	2.0	0.0	1.0	5.0	0.0	3
2.0	6.0	2.0	100.0	0.0	3.0	5.0	118.0	5.0	2.0	0.0	2.0	0.0	1.0	7.0	0.0	8
1.0	4.0	2.0	100.0	1.0	1.0	3.0	751.0	4.0	3.0	22.0	2.0	0.0	1.0	3.0	0.0	7
2.0	3.0	2.0	100.0	1.0	3.0	5.0	224.0	4.0	1.0	22.0	3.0	0.0	1.0	7.0	0.0	4
2.0	7.0	2.0	100.0	3.0	1.0	4.0	804.0	4.0	3.0	19.0	2.0	0.0	249.0	5.0	0.0	20
6.0	6.0	2.0	100.0	4.0	3.0	3.0	860.0	5.0	2.0	20.0	1.0	0.0	1.0	5.0	0.0	15
2.0	4.0	2.0	100.0	3.0	1.0	3.0	217.0	5.0	4.0	13.0	1.0	0.0	1.0	5.0	0.0	8
2.0	2.0	2.0	100.0	3.0	7.0	8.0	769.0	4.0	4.0	23.0	2.0	0.0	1.0	3.0	0.0	3
2.0	3.0	2.0	0.0	1.0	7.0	3.0	438.0	5.0	5.0	2.0	3.0	1.0	39.0	3.0	0.0	5
2.0	6.0	2.0	100.0	3.0	1.0	3.0	157.0	6.0	5.0	0.0	1.0	1.0	40.0	7.0	0.0	7
2.0	3.0	1.0	100.0	0.0	3.0	4.0	260.0	5.0	2.0	3.0	2.0	1.0	39.0	7.0	0.0	7
1.0	4.0	2.0	100.0	3.0	7.0	6.0	1237.0	5.0	5.0	7.0	3.0	1.0	39.0	3.0	0.0	6
2.0	3.0	1.0	100.0	3.0	5.0	3.0	230.0	4.0	6.0	17.0	2.0	1.0	39.0	7.0	0.0	4
2.0	4.0	2.0	100.0	3.0	7.0	5.0	117.0	4.0	4.0	20.0	2.0	1.0	39.0	3.0	0.0	7
2.0	4.0	2.0	100.0	0.0	5.0	3.0	110.0	4.0	6.0	19.0	1.0	0.0	1.0	7.0	0.0	7
2.0	6.0	2.0	100.0	2.0	7.0	4.0	447.0	5.0	5.0	15.0	2.0	0.0	1.0	7.0	0.0	13
2.0	4.0	2.0	100.0	2.0	3.0	4.0	342.0	4.0	1.0	17.0	2.0	0.0	1.0	5.0	0.0	11
2.0	2.0	3.0	100.0	0.0	3.0	3.0	293.0	6.0	3.0	0.0	3.0	0.0	1.0	3.0	0.0	2
